t,acc
4.14 , -0.4
4.15 , -0.45
4.16 , -0.6
4.17 , -0.72
4.18 , -0.72
4.19 , -0.52
4.2 , -0.15
4.21 , 0.29
4.22 , 0.71
4.23 , 1.0
4.24 , 1.2
4.25 , 1.2
4.26 , 1.2
4.2700000000000005 , 1.1
4.28 , 0.98
4.29 , 0.85
4.3 , 0.68
4.3100000000000005 , 0.49
4.32 , 0.28
4.33 , 0.16
4.34 , 0.17
4.3500000000000005 , 0.33
4.36 , 0.58
4.37 , 0.84
4.38 , 1.0
4.39 , 1.1
4.4 , 1.0
4.41 , 0.96
4.42 , 0.89
4.43 , 0.83
4.44 , 0.78
4.45 , 0.72
4.46 , 0.69
4.47 , 0.72
4.48 , 0.8
4.49 , 0.89
4.5 , 0.93
4.51 , 0.87
4.5200000000000005 , 0.74
4.53 , 0.57
4.54 , 0.43
4.55 , 0.32
4.5600000000000005 , 0.24
4.57 , 0.12
4.58 , -0.0093
4.59 , -0.17
4.6000000000000005 , -0.23
4.61 , -0.18
4.62 , 0.043
4.63 , 0.35
4.64 , 0.61
4.65 , 0.74
4.66 , 0.74
4.67 , 0.64
4.68 , 0.52
4.69 , 0.46
4.7 , 0.42
4.71 , 0.37
4.72 , 0.28
4.73 , 0.16
4.74 , 0.051
4.75 , 0.013
4.76 , 0.038
4.7700000000000005 , 0.088
4.78 , 0.097
4.79 , 0.054
4.8 , -0.032
4.8100000000000005 , -0.079
4.82 , -0.077
4.83 , -0.016
4.84 , 0.073
4.8500000000000005 , 0.12
4.86 , 0.15
4.87 , 0.16
4.88 , 0.2
4.89 , 0.29
4.9 , 0.4
4.91 , 0.53
4.92 , 0.67
4.93 , 0.79
4.94 , 0.92
4.95 , 1.0
4.96 , 1.0
4.97 , 0.99
4.98 , 0.87
4.99 , 0.75
5.0 , 0.66
5.01 , 0.67
5.0200000000000005 , 0.81
5.03 , 1.0
5.04 , 1.2
5.05 , 1.2
5.0600000000000005 , 1.0
5.07 , 0.8
5.08 , 0.55
5.09 , 0.35
5.1000000000000005 , 0.22
5.11 , 0.078
5.12 , -0.086
5.13 , -0.31
5.14 , -0.5
5.15 , -0.61
5.16 , -0.61
5.17 , -0.56
5.18 , -0.52
5.19 , -0.56
5.2 , -0.68
5.21 , -0.84
5.22 , -0.97
5.23 , -0.99
5.24 , -0.88
5.25 , -0.71
5.26 , -0.5
5.2700000000000005 , -0.31
5.28 , -0.098
5.29 , 0.16
5.3 , 0.51
5.3100000000000005 , 0.85
5.32 , 1.1
5.33 , 1.3
5.34 , 1.2
5.3500000000000005 , 1.0
5.36 , 0.75
5.37 , 0.47
5.38 , 0.19
5.39 , -0.05
5.4 , -0.22
5.41 , -0.3
5.42 , -0.27
5.43 , -0.19
5.44 , -0.16
5.45 , -0.25
5.46 , -0.48
5.47 , -0.74
5.48 , -0.95
5.49 , -1.0
5.5 , -0.96
5.51 , -0.88
5.5200000000000005 , -0.86
5.53 , -0.95
5.54 , -1.1
5.55 , -1.2
5.5600000000000005 , -1.1
5.57 , -0.92
5.58 , -0.63
5.59 , -0.29
5.6000000000000005 , 0.027
5.61 , 0.31
5.62 , 0.53
5.63 , 0.65
5.64 , 0.59
5.65 , 0.35
5.66 , -0.036
5.67 , -0.44
5.68 , -0.72
5.69 , -0.81
5.7 , -0.76
5.71 , -0.59
5.72 , -0.46
5.73 , -0.41
5.74 , -0.46
5.75 , -0.58
5.76 , -0.65
5.7700000000000005 , -0.67
5.78 , -0.56
5.79 , -0.36
5.8 , -0.13
5.8100000000000005 , 0.066
5.82 , 0.19
5.83 , 0.2
5.84 , 0.13
5.8500000000000005 , -0.024
5.86 , -0.23
5.87 , -0.49
5.88 , -0.76
5.89 , -0.96
5.9 , -1.1
5.91 , -1.0
5.92 , -0.88
5.93 , -0.69
5.94 , -0.5
5.95 , -0.34
5.96 , -0.14
5.97 , 0.064
5.98 , 0.25
5.99 , 0.34
6.0 , 0.31
6.01 , 0.15
6.0200000000000005 , -0.082
6.03 , -0.31
6.04 , -0.52
6.05 , -0.65
6.0600000000000005 , -0.72
6.07 , -0.7
6.08 , -0.57
6.09 , -0.36
6.1000000000000005 , -0.11
6.11 , 0.18
6.12 , 0.47
6.13 , 0.75
6.140000000000001 , 1.1
6.15 , 1.4
6.16 , 1.6
6.17 , 1.9
6.18 , 1.9
6.19 , 2.0
6.2 , 1.9
6.21 , 1.9
6.22 , 1.8
6.23 , 1.7
6.24 , 1.6
6.25 , 1.4
6.26 , 1.3
6.2700000000000005 , 1.1
6.28 , 0.83
6.29 , 0.43
6.3 , -0.068
6.3100000000000005 , -0.57
6.32 , -0.96
6.33 , -1.1
6.34 , -1.0
6.3500000000000005 , -0.65
6.36 , -0.11
6.37 , 0.49
6.38 , 1.0
6.390000000000001 , 1.3
6.4 , 1.4
6.41 , 1.4
6.42 , 1.1
6.43 , 0.88
6.44 , 0.64
6.45 , 0.43
6.46 , 0.28
6.47 , 0.11
6.48 , -0.053
6.49 , -0.23
6.5 , -0.39
6.51 , -0.54
6.5200000000000005 , -0.67
6.53 , -0.8
6.54 , -0.89
6.55 , -0.91
6.5600000000000005 , -0.82
6.57 , -0.66
6.58 , -0.45
6.59 , -0.32
6.6000000000000005 , -0.31
6.61 , -0.37
6.62 , -0.44
6.63 , -0.43
6.640000000000001 , -0.26
6.65 , 0.0053
6.66 , 0.31
6.67 , 0.51
6.68 , 0.58
6.69 , 0.55
6.7 , 0.5
6.71 , 0.52
6.72 , 0.54
6.73 , 0.52
6.74 , 0.34
6.75 , 0.036
6.76 , -0.32
6.7700000000000005 , -0.57
6.78 , -0.67
6.79 , -0.65
6.8 , -0.62
6.8100000000000005 , -0.71
6.82 , -0.92
6.83 , -1.2
6.84 , -1.4
6.8500000000000005 , -1.5
6.86 , -1.5
6.87 , -1.3
6.88 , -1.1
6.890000000000001 , -0.89
6.9 , -0.77
6.91 , -0.72
6.92 , -0.7
6.93 , -0.7
6.94 , -0.71
6.95 , -0.72
6.96 , -0.68
6.97 , -0.59
6.98 , -0.43
6.99 , -0.27
7.0 , -0.19
7.01 , -0.2
7.0200000000000005 , -0.28
7.03 , -0.28
7.04 , -0.12
7.05 , 0.22
7.0600000000000005 , 0.67
7.07 , 1.1
7.08 , 1.3
7.09 , 1.4
7.1000000000000005 , 1.3
7.11 , 1.1
7.12 , 1.0
7.13 , 1.1
7.140000000000001 , 1.2
7.15 , 1.4
7.16 , 1.4
7.17 , 1.3
7.18 , 1.0
7.19 , 0.61
7.2 , 0.18
7.21 , -0.19
7.22 , -0.42
7.23 , -0.48
7.24 , -0.36
7.25 , -0.099
7.26 , 0.21
7.2700000000000005 , 0.47
7.28 , 0.59
7.29 , 0.54
7.3 , 0.41
7.3100000000000005 , 0.27
7.32 , 0.2
7.33 , 0.22
7.34 , 0.28
7.3500000000000005 , 0.34
7.36 , 0.36
7.37 , 0.35
7.38 , 0.37
7.390000000000001 , 0.38
7.4 , 0.37
7.41 , 0.27
7.42 , 0.019
7.43 , -0.29
7.44 , -0.59
7.45 , -0.74
7.46 , -0.73
7.47 , -0.62
7.48 , -0.53
7.49 , -0.56
7.5 , -0.67
7.51 , -0.78
7.5200000000000005 , -0.81
7.53 , -0.72
7.54 , -0.53
7.55 , -0.34
7.5600000000000005 , -0.2
7.57 , -0.095
7.58 , 0.011
7.59 , 0.16
7.6000000000000005 , 0.32
7.61 , 0.44
7.62 , 0.47
7.63 , 0.43
7.640000000000001 , 0.41
7.65 , 0.44
7.66 , 0.53
7.67 , 0.64
7.68 , 0.72
7.69 , 0.77
7.7 , 0.75
7.71 , 0.67
7.72 , 0.51
7.73 , 0.29
7.74 , 0.043
7.75 , -0.19
7.76 , -0.31
7.7700000000000005 , -0.31
7.78 , -0.16
7.79 , 0.018
7.8 , 0.19
7.8100000000000005 , 0.24
7.82 , 0.18
7.83 , 0.017
7.84 , -0.16
7.8500000000000005 , -0.26
7.86 , -0.2
7.87 , -0.028
7.88 , 0.24
7.890000000000001 , 0.51
7.9 , 0.73
7.91 , 0.91
7.92 , 1.1
7.930000000000001 , 1.2
7.94 , 1.2
7.95 , 1.2
7.96 , 0.91
7.97 , 0.5
7.98 , 0.036
7.99 , -0.37
8.0 , -0.64
8.01 , -0.82
8.02 , -0.93
8.03 , -1.0
8.040000000000001 , -1.1
8.05 , -1.1
8.06 , -1.0
8.07 , -0.94
8.08 , -0.84
8.09 , -0.77
